s_id,semester,leave_school_name,leave_dept_name,degree_now,第一題,第二題,第三題,第四題,第五題,第六題,第七題,第八題,第九題,第十題,第10題,第十一題,第11題,第十二題
00035434f26d0302f25f626c40cdf18d,100,工學院,機械工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣49,001元至52,000元*:*",境內_新北市*:*,NULL,NULL,語言學習*:*校內實務課程*:*專業知識、知能傳授*:*,NULL,創新能力*:*跨領域整合能力*:*團隊合作能力*:*,資訊科技應用能力*:*問題解決能力*:*,符合*:*,工程學門*:*
001ab8500ec415228137e61f9657795b,100,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣55,001元至60,000元*:*",境內_台北市*:*,NULL,NULL,專業知識、知能傳授*:*語言學習*:*,NULL,團隊合作能力*:*持續學習能力*:*溝通表達能力*:*,問題解決能力*:*資訊科技應用能力*:*,非常符合*:*,電算機學門*:*
00500ae040547e9ff78566a7547e027c,103,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_高雄市*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_工作內容不滿意*:*,NULL,建立同學及老師人脈*:*,人際互動能力*:*,NULL,工作紀律、責任感及時間管理能力*:*資訊科技應用能力*:*團隊合作能力*:*,NULL,法律學門*:*社會及行為科學門*:*
005236ed42758dd2acbed94db9166fee,101,資訊電機學院,電機工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣52,001元至55,000元*:*",境內_桃園市*:*,NULL,NULL,擔任研究或教學助理*:*專業知識、知能傳授*:*校內實務課程*:*,NULL,工作紀律、責任感及時間管理能力*:*創新能力*:*溝通表達能力*:*,創新能力*:*,符合*:*,工程學門*:*
0054c3ffc3557a184966286d8fc600b7,101,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,製造業 (C)*:*,"約新臺幣46,001元至49,000元*:*",境內_新竹縣*:*,NULL,NULL,專業知識、知能傳授*:*校內實務課程*:*語言學習*:*,NULL,人際互動能力*:*溝通表達能力*:*團隊合作能力*:*,團隊合作能力*:*,尚可*:*,電算機學門*:*
006ca00ee200a3e9e0c18fa861738efe,100,理學院,生命科學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,否*:*,製造業 (C)*:*,"約新臺幣65,001元至70,000元*:*",境內_台北市*:*,NULL,NULL,語言學習*:*專業知識、知能傳授*:*建立同學及老師人脈*:*,NULL,問題解決能力*:*跨領域整合能力*:*創新能力*:*,溝通表達能力*:*外語能力*:*持續學習能力*:*,符合*:*,商業及管理學門*:*
00936af08c520430c3c0396c486dbd9a,100,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,否*:*,製造業 (C)*:*,"約新臺幣49,001元至52,000元*:*",境內_新竹市*:*,NULL,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*校內實務課程*:*,NULL,工作紀律、責任感及時間管理能力*:*創新能力*:*溝通表達能力*:*,問題解決能力*:*,非常符合*:*,沒有進修需求*:*
00a4dfca85cfa17e588c1688aa2981dc,103,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_雲林縣*:*,準備考試_出國留學*:*,NULL,校內實務課程*:*,跨領域整合能力*:*,NULL,其他_(請敘明)__*:*,NULL,電算機學門*:*
00bb0057127bb11542dabffd179dfae6,100,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣55,001元至60,000元*:*",境內_苗栗縣*:*,NULL,NULL,專業知識、知能傳授*:*,NULL,跨領域整合能力*:*工作紀律、責任感及時間管理能力*:*,資訊科技應用能力*:*問題解決能力*:*,符合*:*,商業及管理學門*:*
00d216072e7cc38d0197056ba98eb0fc,101,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,否*:*,金融及保險業 (K)*:*,"約新臺幣52,001元至55,000元*:*",境內_台北市*:*,NULL,NULL,校內實務課程*:*語言學習*:*社團活動*:*,NULL,外語能力*:*溝通表達能力*:*資訊科技應用能力*:*,工作紀律、責任感及時間管理能力*:*人際互動能力*:*溝通表達能力*:*,不符合*:*,沒有進修需求*:*
00d6f2dbdec8f9a4d68dc6fde6e10c40,103,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,專業 、科學及技術服務(M)*:*,NULL,境內_嘉義市*:*,準備考試_國內研究所*:*,NULL,校外業界實習*:*,持續學習能力*:*,NULL,問題解決能力*:*資訊科技應用能力*:*溝通表達能力*:*,NULL,人文學門*:*
00e94e29123619359fce7c7b6eb39780,100,管理學院,資訊管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣49,001元至52,000元*:*",境內_台北市*:*,NULL,NULL,建立同學及老師人脈*:*專業知識、知能傳授*:*校內實務課程*:*,NULL,外語能力*:*資訊科技應用能力*:*跨領域整合能力*:*,問題解決能力*:*工作紀律、責任感及時間管理能力*:*,符合*:*,商業及管理學門*:*
00eec245ca8c5a7aad24f4a7cfb5218d,100,文學院,英美語文學系,學士班,全職工作_創業*:*,其他部門*:*,是*:*,藝術、娛樂及休閒服務業 (R)*:*,"約新臺幣37,001元至40,000元*:*",境內_台北市*:*,NULL,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*校外業界實習*:*,NULL,工作紀律、責任感及時間管理能力*:*問題解決能力*:*溝通表達能力*:*,團隊合作能力*:*溝通表達能力*:*,符合*:*,設計學門*:*
010ca4e90d1e0a4493f9ef910723a79f,100,地球科學學院,地球科學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣43,001元至46,000元*:*",境內_台北市*:*,NULL,NULL,專業知識、知能傳授*:*校外業界實習*:*建立同學及老師人脈*:*,NULL,問題解決能力*:*持續學習能力*:*跨領域整合能力*:*,資訊科技應用能力*:*問題解決能力*:*持續學習能力*:*,符合*:*,電算機學門*:*
013e27635dc669adb1ca680f77278d2d,103,資訊電機學院,電機工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,NULL,境內_南投縣*:*,準備考試_出國留學*:*,NULL,建立同學及老師人脈*:*,人際互動能力*:*,NULL,工作紀律、責任感及時間管理能力*:*人際互動能力*:*,NULL,自然科學門*:*人文學門*:*
014b027d4f21d2671d321b09912168a5,103,工學院,機械工程學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,生產 /製造 部門*:*,否*:*,製造業 (C)*:*,NULL,境內_彰化縣*:*,準備考試_出國留學*:*,NULL,建立同學及老師人脈*:*,溝通表達能力*:*團隊合作能力*:*創新能力*:*,NULL,人際互動能力*:*工作紀律、責任感及時間管理能力*:*團隊合作能力*:*,NULL,藝術學門*:*
017dd0257ffb95e44d44b653ba907c79,100,工學院,環境工程研究所碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,是*:*,製造業 (C)*:*,"約新臺幣140,001元至150,000元*:*",境內_桃園市*:*,NULL,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*,NULL,問題解決能力*:*跨領域整合能力*:*團隊合作能力*:*,問題解決能力*:*工作紀律、責任感及時間管理能力*:*團隊合作能力*:*,非常符合*:*,工程學門*:*
01cc9fa96e869253a5aee94eda6bec75,101,管理學院,資訊管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣100,001元至110,000元*:*",境內_台北市*:*,NULL,NULL,校內實務課程*:*,NULL,溝通表達能力*:*資訊科技應用能力*:*創新能力*:*,團隊合作能力*:*人際互動能力*:*資訊科技應用能力*:*,尚可*:*,沒有進修需求*:*
01dcfc2f043d7056e7ecad6d926803dd,101,地球科學學院,大氣科學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,運輸及倉儲業 (H)*:*,"約新臺幣43,001元至46,000元*:*",境內_桃園市*:*,NULL,NULL,校外業界實習*:*,NULL,問題解決能力*:*跨領域整合能力*:*,問題解決能力*:*人際互動能力*:*工作紀律、責任感及時間管理能力*:*,非常不符合*:*,商業及管理學門*:*
01e3b813adbcd366d0e60ec4bf111ae2,100,理學院,物理學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,外語能力*:*問題解決能力*:*,問題解決能力*:*外語能力*:*,NULL,電算機學門*:*
01e577683645c18b54291b32b417db1b,101,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,生產 /製造 部門*:*,否*:*,製造業 (C)*:*,"約新臺幣52,001元至55,000元*:*",境內_新竹縣*:*,NULL,NULL,社團活動*:*建立同學及老師人脈*:*,NULL,領導能力*:*溝通表達能力*:*,溝通表達能力*:*,尚可*:*,沒有進修需求*:*
01e7b45c192166376677995429a7d7f3,100,管理學院,企業管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,是*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣70,001元至75,000元*:*",境內_台北市*:*,NULL,NULL,擔任研究或教學助理*:*專業知識、知能傳授*:*,NULL,創新能力*:*跨領域整合能力*:*外語能力*:*,團隊合作能力*:*溝通表達能力*:*問題解決能力*:*,符合*:*,沒有進修需求*:*
01eca14d0eef0b2ca22043fa0eac48bf,101,理學院,光電科學與工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣65,001元至70,000元*:*",境內_新竹市*:*,NULL,NULL,校內實務課程*:*專業知識、知能傳授*:*,NULL,持續學習能力*:*創新能力*:*,工作紀律、責任感及時間管理能力*:*問題解決能力*:*,符合*:*,商業及管理學門*:*
01f1a0142dee2f167ad8e70bbd839f81,103,資訊電機學院,通訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,NULL,境內_嘉義縣*:*,準備考試_國內研究所*:*,NULL,校內實務課程*:*,人際互動能力*:*,NULL,問題解決能力*:*外語能力*:*資訊科技應用能力*:*,NULL,法律學門*:*
02014ff60bb75d304c69a207944e15cd,103,理學院,數學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,業務部門*:*,否*:*,金融及保險業 (K)*:*,NULL,境內_高雄市*:*,準備考試_國內研究所*:*,NULL,建立同學及老師人脈*:*,問題解決能力*:*溝通表達能力*:*,NULL,外語能力*:*創新能力*:*跨領域整合能力*:*,NULL,藝術學門*:*商業及管理學門*:*教育學門*:*
0208a2e97d52557f1f6a0caad9a7b9d1,103,理學院,化學學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,NULL,境內_南投縣*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_公司財務或制度不穩健*:*,NULL,專業知識、知能傳授*:*,持續學習能力*:*溝通表達能力*:*,NULL,問題解決能力*:*工作紀律、責任感及時間管理能力*:*溝通表達能力*:*,NULL,教育學門*:*設計學門*:*社會及行為科學門*:*
021cbb64e104501293f417496b40e12d,101,地球科學學院,地球科學學系,學士班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,教育訓練部門*:*,否*:*,教育業 (P)*:*,"約新臺幣43,001元至46,000元*:*",境內_新北市*:*,NULL,NULL,校內實務課程*:*建立同學及老師人脈*:*,NULL,問題解決能力*:*持續學習能力*:*溝通表達能力*:*,問題解決能力*:*,符合*:*,環境保護學門*:*
022f69c41a5601510807206cd4dea611,101,理學院,數學系,學士班,全職工作_自由工作者(以接案維生或個人服務，例如撰稿人…)*:*,其他部門*:*,否*:*,藝術、娛樂及休閒服務業 (R)*:*,"約新臺幣70,001元至75,000元*:*",境內_台北市*:*,NULL,NULL,校外業界實習*:*校內實務課程*:*,NULL,問題解決能力*:*創新能力*:*溝通表達能力*:*,外語能力*:*工作紀律、責任感及時間管理能力*:*,符合*:*,藝術學門*:*
0237af6d1a01bb1e6701f479bd7dc974,101,工學院,化學工程與材料工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,"約新臺幣65,001元至70,000元*:*",境內_台中市*:*,NULL,NULL,專業知識、知能傳授*:*語言學習*:*建立同學及老師人脈*:*,NULL,團隊合作能力*:*問題解決能力*:*溝通表達能力*:*,外語能力*:*溝通表達能力*:*人際互動能力*:*,符合*:*,數學及統計門*:*
023f4b2fec9002e54e030da8674b022c,103,工學院,土木工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,NULL,境內_彰化縣*:*,準備考試_國內研究所*:*,NULL,建立同學及老師人脈*:*,外語能力*:*人際互動能力*:*溝通表達能力*:*,NULL,團隊合作能力*:*溝通表達能力*:*持續學習能力*:*,NULL,商業及管理學門*:*法律學門*:*社會及行為科學門*:*
02408c9c0907cf56fa60313304f9c73c,101,管理學院,財務金融學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,業務部門*:*,是*:*,金融及保險業 (K)*:*,"約新臺幣100,001元至110,000元*:*",境內_桃園市*:*,NULL,NULL,校內實務課程*:*專業知識、知能傳授*:*,NULL,領導能力*:*團隊合作能力*:*,領導能力*:*,符合*:*,商業及管理學門*:*
0246cd6ab92dfc4db613932aadff41cf,101,管理學院,財務金融學系碩士班,碩士班,全職工作_創業*:*,其他部門*:*,是*:*,專業 、科學及技術服務(M)*:*,"約新臺幣210,001元以上*:*",境內_台北市*:*,NULL,NULL,擔任研究或教學助理*:*專業知識、知能傳授*:*,NULL,溝通表達能力*:*問題解決能力*:*創新能力*:*,問題解決能力*:*,符合*:*,電算機學門*:*
025a7914a6a2e4d9f4157db3265c5805,100,地球科學學院,水文與海洋科學研究所碩士班,碩士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,NULL,尋找工作中_目前已花多久時間找工作_其他*:*,NULL,NULL,NULL,人際互動能力*:*溝通表達能力*:*跨領域整合能力*:*,人際互動能力*:*溝通表達能力*:*跨領域整合能力*:*,NULL,環境保護學門*:*
0286f240b8c32c9415846d30321d3388,103,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門（請敘明）*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_台南市*:*,準備考試_出國留學*:*,NULL,校內實務課程*:*,溝通表達能力*:*外語能力*:*,NULL,人際互動能力*:*持續學習能力*:*,NULL,教育學門*:*人文學門*:*
02990666d1bd88d181bd70623e48d88b,100,地球科學學院,應用地質研究所碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門*:*,是*:*,製造業 (C)*:*,"約新臺幣40,001元至43,000元*:*",境內_台中市*:*,NULL,NULL,建立同學及老師人脈*:*專業知識、知能傳授*:*校內實務課程*:*,NULL,跨領域整合能力*:*外語能力*:*問題解決能力*:*,問題解決能力*:*領導能力*:*,符合*:*,工程學門*:*
02a602d109385d413df2d61596074c47,103,工學院,營建管理研究所碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,營建工程業 (F)*:*,NULL,境內_高雄市*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_其他*:*,NULL,建立同學及老師人脈*:*,溝通表達能力*:*持續學習能力*:*,NULL,創新能力*:*溝通表達能力*:*問題解決能力*:*,NULL,自然科學門*:*教育學門*:*
