s_id,semester,leave_school_name,leave_dept_name,degree_now,第一題,第二題,第三題,第四題,第五題,第六題,第七題,第八題,第九題,第十題,第10題,第十一題,第十二題,第十三題,第十四題
00063e3c07ae571fc37e0ac5dd431963,102,資訊電機學院,電機工程學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,團隊合作能力*:*人際互動能力*:*溝通表達能力*:*
0019a683730feb8143c3b9466a96e311,104,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣49,001元至52,000元*:*",境內_台北市*:*,NULL,非常符合*:*,不需要*:*,滿意*:*,非常符合*:*,NULL,語言學習*:*建立同學及老師人脈*:*,沒有*:*,NULL,溝通表達能力*:*人際互動能力*:*問題解決能力*:*
001ab8500ec415228137e61f9657795b,100,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_薪資及福利較高*:*,"約新臺幣60,001元至65,000元*:*",境內_台北市*:*,NULL,符合*:*,不需要*:*,滿意*:*,符合*:*,NULL,專業知識、知能傳授*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,團隊合作能力*:*工作紀律、責任感及時間管理能力*:*
002a646b8b1380c005c78f51408a8a8f,102,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣90,001元至95,000元*:*",境外_北美洲*:*,NULL,非常符合*:*,不需要*:*,普通*:*,非常符合*:*,NULL,專業知識、知能傳授*:*,沒有*:*,NULL,團隊合作能力*:*溝通表達能力*:*問題解決能力*:*
002d87462ce78f1f214d9cc08ba18eff,103,理學院,數學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,尋找工作中_目前已花多久時間找工作_約1個月以內*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,資訊科技應用能力*:*
003b5bed587e0400b76d0e4d2f2ab5ed,104,工學院,機械工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,製造類*:*,否*:*,"約新臺幣43,001元至46,000元*:*",境內_桃園市*:*,NULL,普通*:*,不需要*:*,不滿意*:*,普通*:*,NULL,校內實務課程*:*,有_準備考試或其他證照_語言證照*:*有_進修_國內大專校院進修*:*,非常有幫助*:*,人際互動能力*:*團隊合作能力*:*工作紀律、責任感及時間管理能力*:*
005236ed42758dd2acbed94db9166fee,101,資訊電機學院,電機工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_與個人興趣較符合*:*,"約新臺幣45,001元至50,000元*:*",境內_桃園市*:*,NULL,符合*:*,不需要*:*,滿意*:*,符合*:*,NULL,建立同學及老師人脈*:*語言學習*:*專業知識、知能傳授*:*,沒有*:*,NULL,溝通表達能力*:*人際互動能力*:*持續學習能力*:*
0052fd24eeaa29dd2244bf3f9ee8d419,103,工學院,化學工程與材料工程學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,服役中或等待服役中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,溝通表達能力*:*
0054c3ffc3557a184966286d8fc600b7,101,資訊電機學院,資訊工程學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,服役中或等待服役中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,外語能力*:*工作紀律、責任感及時間管理能力*:*溝通表達能力*:*
0057fda1b57055f918dba00ecc6bf92c,104,理學院,物理學系,學士班,部分工時_企業（包括民營企業或國營企業…等）*:*部分工時_請問您1週工作時數約_小時(建議以每週平均時數填報)*:*,製造類*:*,是_轉換工作主要的原因_其他*:*,"約新臺幣22,000元以下*:*",境內_台北市*:*,NULL,符合*:*,不需要*:*,滿意*:*,非常不符合*:*,NULL,社團活動*:*擔任研究或教學助理*:*,有_準備考試或其他證照_其他*:*,有點幫助*:*,其他(請敘明)*:*
